Index,brand,name,price,product_link,rating,product_type
128,maybelline,Maybelline The Nudes Eye Shadow Palette,17.99,https://well.ca/products/maybelline-the-nudes-eye-shadow_95144.html,2,eyeshadow
129,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow Leather,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_95143.html,4.3,eyeshadow
130,maybelline,Maybelline The Nudes Eyeshadow Palette in The Blushed Nudes,17.99,https://well.ca/products/maybelline-the-nudes-eyeshadow_107498.html,4.5,eyeshadow
131,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_50692.html,4.5,eyeshadow
132,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow ,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_67270.html,4,eyeshadow
133,maybelline,Maybelline Line Express Eyeliner,7.29,https://well.ca/products/maybelline-line-express-eyeliner_9738.html,4.5,eyeliner
134,maybelline,Maybelline Unstoppable Eyeliner,8.99,https://well.ca/products/maybelline-unstoppable-eyeliner_3737.html,4.3,eyeliner
135,maybelline,Maybelline Color Show Kohl Liner,5.99,https://well.ca/products/maybelline-color-show-kohl-liner_101020.html,,eyeliner
136,maybelline,Maybelline Eye Studio Master Graphic in Striking Black,11.99,https://well.ca/products/maybelline-eye-studio-master-graphic_112723.html,,eyeliner
137,maybelline,Maybelline EyeStudio Master Precise Ink Pen Eyeliner,11.99,https://well.ca/products/maybelline-eyestudio-master-precise_40535.html,4,eyeliner
138,maybelline,Maybelline Line Stiletto Ultimate Precision Liquid Eyeliner,10.29,https://well.ca/products/maybelline-line-stiletto-ultimate_17295.html,4,eyeliner
139,maybelline,Maybelline Liquid Eyeliner,10.99,https://well.ca/products/maybelline-liquid-eyeliner_3739.html,4.2,eyeliner
140,maybelline,Maybelline Eye Studio Lasting Drama Gel Eyeliner,11.99,https://well.ca/products/maybelline-eye-studio-lasting-drama_23247.html,4.4,eyeliner
141,maybelline,Maybelline Color Show Nail Lacquer Jewels ,4.49,https://well.ca/products/maybelline-color-show-nail-lacquer_96730.html,3,nail_polish
142,maybelline,Maybelline Color Show Nail Lacquer Veils ,4.49,https://well.ca/products/maybelline-color-show-nail-lacquer_96731.html,4,nail_polish
143,maybelline,Maybelline Color Show Nail Lacquer ,4.49,https://well.ca/products/maybelline-color-show-nail-lacquer_78068.html,3.3,nail_polish
144,maybelline,Maybelline Color Sensational Vivid Matte Liquid Lip Colour,12.99,https://well.ca/products/maybelline-color-sensational-vivid_114538.html,,lipstick
145,maybelline,Maybelline Color Sensational Rebel Bloom Lipcolour ,9.99,https://well.ca/products/maybelline-color-sensational-rebel_101920.html,3,lipstick
146,maybelline,Maybelline Lip Studio Color Blur ,11.99,https://well.ca/products/maybelline-lip-studio-color-blur_106565.html,,lipstick
147,maybelline,Maybelline Color Sensational The Buffs Lipcolour,9.99,https://well.ca/products/maybelline-color-sensational-the_88857.html,4.8,lipstick
148,maybelline,Maybelline Color Sensational Vivids Lipcolour,9.99,https://well.ca/products/maybelline-color-sensational-vivids_66103.html,5,lipstick
